            Zeit	 pressure_Vacuum
               s	            mbar
     2048.340000	      914.363708
     2048.345000	      914.319824
     2048.350000	      914.337952
     2048.355000	      914.367371
     2048.360000	      914.363708
     2048.365000	      914.365051
     2048.370000	      914.366760
     2048.375000	      914.350708
     2048.380000	      914.379211
     2048.385000	      914.399536
     2048.390000	      914.386780
     2048.395000	      914.371948
     2048.400000	      914.366333
     2048.405000	      914.386536
     2048.410000	      914.416382
     2048.415000	      914.393066
     2048.420000	      914.341980
     2048.425000	      914.387573
     2048.430000	      914.393677
     2048.435000	      914.405457
     2048.440000	      914.441528
     2048.445000	      914.490662
     2048.450000	      914.513428
     2048.455000	      914.405029
     2048.460000	      914.384460
     2048.465000	      914.376770
     2048.470000	      914.359680
     2048.475000	      914.453613
     2048.480000	      914.540283
     2048.485000	      914.489990
     2048.490000	      914.460022
     2048.495000	      914.515381
     2048.500000	      914.429260
     2048.505000	      914.517212
     2048.510000	      914.554443
     2048.515000	      914.531799
     2048.520000	      914.619507
     2048.525000	      914.541809
     2048.530000	      914.507324
     2048.535000	      914.482971
     2048.540000	      914.492615
     2048.545000	      914.465881
     2048.550000	      914.446838
     2048.555000	      914.556152
     2048.560000	      914.471497
     2048.565000	      914.385254
     2048.570000	      914.404114
     2048.575000	      914.437195
     2048.580000	      914.385864
     2048.585000	      914.368530
     2048.590000	      914.471863
     2048.595000	      914.466919
     2048.600000	      914.474365
     2048.605000	      914.531128
     2048.610000	      914.458435
     2048.615000	      914.449585
     2048.620000	      914.599548
     2048.625000	      914.560181
     2048.630000	      914.482971
     2048.635000	      914.578552
     2048.640000	      914.513550
     2048.645000	      914.502075
     2048.650000	      914.651001
     2048.655000	      914.770874
     2048.660000	      914.899048
     2048.665000	      914.949890
     2048.670000	      914.900085
     2048.675000	      915.007996
     2048.680000	      915.176941
     2048.685000	      915.096313
     2048.690000	      915.057861
     2048.695000	      915.119263
     2048.700000	      915.165527
     2048.705000	      915.385132
     2048.710000	      915.281555
     2048.715000	      915.374756
     2048.720000	      915.440796
     2048.725000	      915.481934
     2048.730000	      915.589050
     2048.735000	      915.493164
     2048.740000	      915.653809
     2048.745000	      915.531494
     2048.750000	      915.588257
     2048.755000	      915.715271
     2048.760000	      915.583862
     2048.765000	      915.654480
     2048.770000	      915.659668
     2048.775000	      915.733276
     2048.780000	      915.704102
     2048.785000	      915.664856
     2048.790000	      915.729370
     2048.795000	      915.696899
     2048.800000	      915.698853
     2048.805000	      915.715820
     2048.810000	      915.701721
     2048.815000	      915.701599
     2048.820000	      915.711365
     2048.825000	      915.708130
     2048.830000	      915.711792
     2048.835000	      915.692383
     2048.840000	      915.670715
     2048.845000	      915.680908
     2048.850000	      915.682739
     2048.855000	      915.676880
     2048.860000	      915.672974
     2048.865000	      915.702393
     2048.870000	      915.706726
     2048.875000	      915.706299
     2048.880000	      915.694946
     2048.885000	      915.681946
     2048.890000	      915.702637
     2048.895000	      915.684448
     2048.900000	      915.707886
     2048.905000	      915.721558
     2048.910000	      915.700806
     2048.915000	      915.751526
     2048.920000	      915.795410
     2048.925000	      915.796448
     2048.930000	      915.856018
     2048.935000	      915.922607
     2048.940000	      915.980530
     2048.945000	      916.127136
     2048.950000	      916.177551
     2048.955000	      916.138611
     2048.960000	      916.152405
     2048.965000	      916.280457
     2048.970000	      916.310852
     2048.975000	      916.196411
     2048.980000	      916.342712
     2048.985000	      916.349792
     2048.990000	      916.349487
     2048.995000	      916.606934
     2049.000000	      916.611633
     2049.005000	      916.561462
     2049.010000	      916.675903
     2049.015000	      916.798584
     2049.020000	      916.844177
     2049.025000	      916.700378
     2049.030000	      916.743347
     2049.035000	      916.860474
     2049.040000	      916.816589
     2049.045000	      916.856445
     2049.050000	      916.880676
     2049.055000	      916.787659
     2049.060000	      916.919495
     2049.065000	      916.984131
     2049.070000	      916.837708
     2049.075000	      917.015686
     2049.080000	      917.025696
     2049.085000	      916.932007
     2049.090000	      917.019958
     2049.095000	      917.026489
     2049.100000	      917.012146
     2049.105000	      916.988586
     2049.110000	      917.000305
     2049.115000	      917.052368
     2049.120000	      917.070618
     2049.125000	      917.040039
     2049.130000	      917.028442
     2049.135000	      917.046814
     2049.140000	      917.059570
     2049.145000	      917.039490
     2049.150000	      917.052368
     2049.155000	      917.045898
     2049.160000	      917.028320
     2049.165000	      917.055664
     2049.170000	      917.028320
     2049.175000	      917.023987
     2049.180000	      917.052795
     2049.185000	      917.051086
     2049.190000	      917.049255
     2049.195000	      917.029724
     2049.200000	      917.048889
     2049.205000	      917.071045
     2049.210000	      917.051331
     2049.215000	      917.087952
     2049.220000	      917.066711
     2049.225000	      917.037659
     2049.230000	      917.079895
     2049.235000	      917.048218
     2049.240000	      917.051208
     2049.245000	      917.145813
     2049.250000	      917.161194
     2049.255000	      917.055664
     2049.260000	      917.056946
     2049.265000	      917.102173
     2049.270000	      917.074158
     2049.275000	      917.172546
     2049.280000	      917.103882
     2049.285000	      917.051758
     2049.290000	      917.145691
     2049.295000	      917.128601
     2049.300000	      917.126404
     2049.305000	      917.094360
     2049.310000	      917.090576
     2049.315000	      917.202881
     2049.320000	      917.287842
     2049.325000	      917.292786
     2049.330000	      917.221130
     2049.335000	      917.246887
     2049.340000	      917.279846
     2049.345000	      917.303345
     2049.350000	      917.140991
